annotator	argumentative	overall quality	local acceptability	appropriateness	arrangement	clarity	cogency	effectiveness	global acceptability	global relevance	global sufficiency	reasonableness	local relevance	credibility	emotional appeal	sufficiency	argument	#id	issue	stance
2	y	1 (Low)	1 (Low)	3 (High)	2 (Average)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	Humans have been raised for thousands of years with not near as much resentment towards spanking and today's kids are the unruliest there are... <br/> There's a trend... <br/> (I do admit it's not purely spanking that's the cause but it's a small part of the bigger picture)	arg336222	human-growth-and-development-should-parents-use-spanking-as-an-option-to-discipline	yes
1	y	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	2 (Average)	1 (Low)	Humans have been raised for thousands of years with not near as much resentment towards spanking and today's kids are the unruliest there are... <br/> There's a trend... <br/> (I do admit it's not purely spanking that's the cause but it's a small part of the bigger picture)	arg336222	human-growth-and-development-should-parents-use-spanking-as-an-option-to-discipline	yes
3	y	1 (Low)	1 (Low)	2 (Average)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	Humans have been raised for thousands of years with not near as much resentment towards spanking and today's kids are the unruliest there are... <br/> There's a trend... <br/> (I do admit it's not purely spanking that's the cause but it's a small part of the bigger picture)	arg336222	human-growth-and-development-should-parents-use-spanking-as-an-option-to-discipline	yes
2	y	1 (Low)	1 (Low)	3 (High)	3 (High)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	2 (Average)	1 (Low)	1 (Low)	Yes I believe you should spank a child only when they know they are wrong. The child will understand more if he is scared to do the same mistake. Actions speak louder than words.	arg335090	human-growth-and-development-should-parents-use-spanking-as-an-option-to-discipline	yes
1	y	2 (Average)	2 (Average)	2 (Average)	2 (Average)	3 (High)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	Yes I believe you should spank a child only when they know they are wrong. The child will understand more if he is scared to do the same mistake. Actions speak louder than words.	arg335090	human-growth-and-development-should-parents-use-spanking-as-an-option-to-discipline	yes
3	y	1 (Low)	1 (Low)	1 (Low)	2 (Average)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	Yes I believe you should spank a child only when they know they are wrong. The child will understand more if he is scared to do the same mistake. Actions speak louder than words.	arg335090	human-growth-and-development-should-parents-use-spanking-as-an-option-to-discipline	yes
2	y	1 (Low)	2 (Average)	3 (High)	2 (Average)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	2 (Average)	1 (Low)	1 (Low)	yes because if they fear getting hit than they wont do it again	arg335089	human-growth-and-development-should-parents-use-spanking-as-an-option-to-discipline	yes
1	y	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	2 (Average)	1 (Low)	yes because if they fear getting hit than they wont do it again	arg335089	human-growth-and-development-should-parents-use-spanking-as-an-option-to-discipline	yes
3	y	1 (Low)	1 (Low)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	2 (Average)	1 (Low)	yes because if they fear getting hit than they wont do it again	arg335089	human-growth-and-development-should-parents-use-spanking-as-an-option-to-discipline	yes
2	y	1 (Low)	2 (Average)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	2 (Average)	1 (Low)	No I wouldn't tell on him because you never know what the reason might be for him to kill that person or it could have been for self defense for all we know and if the people come question me about anything I DON'T KNOW NOTHING.....he have my trust and I wouldn't let him down for no reason plus his secret is safe with me...	arg33243	if-your-spouse-committed-murder-and-he-or-she-confided-in-you-would-you-turn-them-in	no
1	y	2 (Average)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	No I wouldn't tell on him because you never know what the reason might be for him to kill that person or it could have been for self defense for all we know and if the people come question me about anything I DON'T KNOW NOTHING.....he have my trust and I wouldn't let him down for no reason plus his secret is safe with me...	arg33243	if-your-spouse-committed-murder-and-he-or-she-confided-in-you-would-you-turn-them-in	no
3	y	1 (Low)	1 (Low)	1 (Low)	2 (Average)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	3 (High)	1 (Low)	2 (Average)	1 (Low)	No I wouldn't tell on him because you never know what the reason might be for him to kill that person or it could have been for self defense for all we know and if the people come question me about anything I DON'T KNOW NOTHING.....he have my trust and I wouldn't let him down for no reason plus his secret is safe with me...	arg33243	if-your-spouse-committed-murder-and-he-or-she-confided-in-you-would-you-turn-them-in	no
2	y	1 (Low)	2 (Average)	2 (Average)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	2 (Average)	1 (Low)	1 (Low)	If my spouse committed murder I would not turn him in. I would do the exact opposite I will help him hide all evidence if any, I will move if we had to, and I will never bring it up to his attention again. If my husband killed someone, he knew what he was doing, so there or it was for a cost. It would be hard for me to turn in the one I love.	arg33341	if-your-spouse-committed-murder-and-he-or-she-confided-in-you-would-you-turn-them-in	no
1	y	1 (Low)	1 (Low)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	3 (High)	1 (Low)	If my spouse committed murder I would not turn him in. I would do the exact opposite I will help him hide all evidence if any, I will move if we had to, and I will never bring it up to his attention again. If my husband killed someone, he knew what he was doing, so there or it was for a cost. It would be hard for me to turn in the one I love.	arg33341	if-your-spouse-committed-murder-and-he-or-she-confided-in-you-would-you-turn-them-in	no
3	y	2 (Average)	1 (Low)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	3 (High)	1 (Low)	2 (Average)	1 (Low)	If my spouse committed murder I would not turn him in. I would do the exact opposite I will help him hide all evidence if any, I will move if we had to, and I will never bring it up to his attention again. If my husband killed someone, he knew what he was doing, so there or it was for a cost. It would be hard for me to turn in the one I love.	arg33341	if-your-spouse-committed-murder-and-he-or-she-confided-in-you-would-you-turn-them-in	no
2	y	2 (Average)	2 (Average)	3 (High)	2 (Average)	3 (High)	1 (Low)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	2 (Average)	3 (High)	3 (High)	3 (High)	1 (Low)	I wouldnt turn her in becuase she is my wife. She made a mistake that we can get over it. If she trusted me by telling me what she did then I couldn't do that to her.	arg33226	if-your-spouse-committed-murder-and-he-or-she-confided-in-you-would-you-turn-them-in	no
1	y	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	2 (Average)	2 (Average)	1 (Low)	3 (High)	2 (Average)	I wouldnt turn her in becuase she is my wife. She made a mistake that we can get over it. If she trusted me by telling me what she did then I couldn't do that to her.	arg33226	if-your-spouse-committed-murder-and-he-or-she-confided-in-you-would-you-turn-them-in	no
3	y	2 (Average)	1 (Low)	2 (Average)	2 (Average)	3 (High)	1 (Low)	1 (Low)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	2 (Average)	1 (Low)	I wouldnt turn her in becuase she is my wife. She made a mistake that we can get over it. If she trusted me by telling me what she did then I couldn't do that to her.	arg33226	if-your-spouse-committed-murder-and-he-or-she-confided-in-you-would-you-turn-them-in	no
2	y	2 (Average)	3 (High)	3 (High)	3 (High)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	3 (High)	3 (High)	2 (Average)	2 (Average)	2 (Average)	I really don't know because i think it depends on who she murdered and how it happened. If it was self defense then no I wouldn't tell the police, but if she just went crazy and murdered someone then yes i would tell the police.	arg33319	if-your-spouse-committed-murder-and-he-or-she-confided-in-you-would-you-turn-them-in	no
1	y	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	I really don't know because i think it depends on who she murdered and how it happened. If it was self defense then no I wouldn't tell the police, but if she just went crazy and murdered someone then yes i would tell the police.	arg33319	if-your-spouse-committed-murder-and-he-or-she-confided-in-you-would-you-turn-them-in	no
3	y	2 (Average)	2 (Average)	2 (Average)	2 (Average)	3 (High)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	3 (High)	1 (Low)	2 (Average)	2 (Average)	I really don't know because i think it depends on who she murdered and how it happened. If it was self defense then no I wouldn't tell the police, but if she just went crazy and murdered someone then yes i would tell the police.	arg33319	if-your-spouse-committed-murder-and-he-or-she-confided-in-you-would-you-turn-them-in	no
2	y	1 (Low)	3 (High)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	It really depends on what had happened, she would have to tell me the story and I would have to be able to sympathize with her and understand why she did what she did. If I truly felt that she was remorseful for what she did and I can sympathize with her about why she committed murder than maybe I could forgive her and not turn her in.	arg33279	if-your-spouse-committed-murder-and-he-or-she-confided-in-you-would-you-turn-them-in	no
1	y	3 (High)	3 (High)	3 (High)	3 (High)	3 (High)	3 (High)	3 (High)	3 (High)	3 (High)	2 (Average)	3 (High)	3 (High)	2 (Average)	2 (Average)	3 (High)	It really depends on what had happened, she would have to tell me the story and I would have to be able to sympathize with her and understand why she did what she did. If I truly felt that she was remorseful for what she did and I can sympathize with her about why she committed murder than maybe I could forgive her and not turn her in.	arg33279	if-your-spouse-committed-murder-and-he-or-she-confided-in-you-would-you-turn-them-in	no
3	y	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	2 (Average)	2 (Average)	1 (Low)	2 (Average)	3 (High)	1 (Low)	2 (Average)	2 (Average)	It really depends on what had happened, she would have to tell me the story and I would have to be able to sympathize with her and understand why she did what she did. If I truly felt that she was remorseful for what she did and I can sympathize with her about why she committed murder than maybe I could forgive her and not turn her in.	arg33279	if-your-spouse-committed-murder-and-he-or-she-confided-in-you-would-you-turn-them-in	no
2	y	1 (Low)	1 (Low)	3 (High)	2 (Average)	3 (High)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	1 (Low)	2 (Average)	2 (Average)	1 (Low)	1 (Low)	If it was the person you truly love and want to spend the rest of your life with then it's a definitely no. People make mistakes but although it's a major crime to murder someone I would still not turn in the person I love the most. If I plan on staying with that person I love for the rest of my life then I would stick with them and never turn them in. And if that means that I am part of that murder by not saying anything, well then so be it.	arg33298	if-your-spouse-committed-murder-and-he-or-she-confided-in-you-would-you-turn-them-in	no
1	y	3 (High)	3 (High)	3 (High)	3 (High)	3 (High)	3 (High)	3 (High)	2 (Average)	3 (High)	2 (Average)	3 (High)	3 (High)	2 (Average)	3 (High)	3 (High)	If it was the person you truly love and want to spend the rest of your life with then it's a definitely no. People make mistakes but although it's a major crime to murder someone I would still not turn in the person I love the most. If I plan on staying with that person I love for the rest of my life then I would stick with them and never turn them in. And if that means that I am part of that murder by not saying anything, well then so be it.	arg33298	if-your-spouse-committed-murder-and-he-or-she-confided-in-you-would-you-turn-them-in	no
3	y	2 (Average)	2 (Average)	2 (Average)	2 (Average)	3 (High)	2 (Average)	1 (Low)	2 (Average)	2 (Average)	1 (Low)	1 (Low)	3 (High)	1 (Low)	2 (Average)	2 (Average)	If it was the person you truly love and want to spend the rest of your life with then it's a definitely no. People make mistakes but although it's a major crime to murder someone I would still not turn in the person I love the most. If I plan on staying with that person I love for the rest of my life then I would stick with them and never turn them in. And if that means that I am part of that murder by not saying anything, well then so be it.	arg33298	if-your-spouse-committed-murder-and-he-or-she-confided-in-you-would-you-turn-them-in	no
2	y	1 (Low)	2 (Average)	3 (High)	3 (High)	3 (High)	1 (Low)	1 (Low)	2 (Average)	1 (Low)	1 (Low)	2 (Average)	2 (Average)	2 (Average)	2 (Average)	1 (Low)	As human beings, we are selfish and have been fabricated with a survival mechanism that tell is to do whatever whenever to protect the ones that we love. I would do everything in my power to protect my love, even if that means taking this horrible secret to the grave.	arg33288	if-your-spouse-committed-murder-and-he-or-she-confided-in-you-would-you-turn-them-in	no
